eng_name,kanji,hepburn
Absorb,すいとる,Suitoru
Acid,ようかいえき,Yōkaieki
Acid Armor,とける,Tokeru
Aerial Ace,つばめがえし,Tsubame Gaeshi
Aeroblast,エアロブラスト,Earoburasuto
Agility,こうそくいどう,Kōsoku Idō
Air Cutter,エアカッター,Ea Kattā
Amnesia,ドわすれ,Dowasure
Ancient Power,げんしのちから,Genshi no Chikara
Arm Thrust,つっぱり,Tsuppari
Aromatherapy,アロマセラピー,Aromaserapī
Assist,ねこのて,Neko no Te
Astonish,おどろかす,Odorokasu
Attract,メロメロ,Meromero
Aurora Beam,オーロラビーム,Ōrora Bīmu
Barrage,たまなげ,Tamanage
Barrier,バリアー,Bariā
Baton Pass,バトンタッチ,Baton Tacchi
Beat Up,ふくろだたき,Fukurodataki
Belly Drum,はらだいこ,Haradaiko
Bide,がまん,Gaman
Bind,しめつける,Shimetsukeru
Bite,かみつく,Kamitsuku
Blast Burn,ブラストバーン,Burasuto Bān
Blaze Kick,ブレイズキック,Bureizu Kikku
Blizzard,ふぶき,Fubuki
Block,とおせんぼう,Tōsenbō
Body Slam,のしかかり,Noshikakari
Bone Club,ホネこんぼう,Hone Konbō
Bone Rush,ボーンラッシュ,Bōn Rasshu
Bonemerang,ホネブーメラン,Hone Būmeran
Bounce,とびはねる,Tobihaneru
Brick Break,かわらわり,Kawarawari
Bubble,あわ,Awa
Bubble Beam,バブルこうせん,Baburu Kōsen
Bulk Up,ビルドアップ,Birudo Appu
Bullet Seed,タネマシンガン,Tane Mashin Gan
Calm Mind,めいそう,Meisō
Camouflage,ほごしょく,Hogoshoku
Charge,じゅうでん,Jūden
Charm,あまえる,Amaeru
Clamp,からではさむ,Kara de Hasamu
Comet Punch,れんぞくパンチ,Renzoku Panchi
Confuse Ray,あやしいひかり,Ayashī Hikari
Confusion,ねんりき,Nenriki
Constrict,からみつく,Karamitsuku
Conversion,テクスチャー,Tekusuchā
Conversion 2,テクスチャー２,Tekusuchā 2
Cosmic Power,コスモパワー,Kosumo Pawā
Cotton Spore,わたほうし,Wata Hōshi
Counter,カウンター,Kauntā
Covet,ほしがる,Hoshigaru
Crabhammer,クラブハンマー,Kurabu Hanma
Cross Chop,クロスチョップ,Kurosu Choppu
Crunch,かみくだく,Kamikudaku
Crush Claw,ブレイククロー,Bureiku Kurō
Curse,のろい,Noroi
Cut,いあいぎり,Iaigiri
